,title_pos,title_neg,desc_pos,desc_neg,content_pos,content_neg,date
0,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.0,0.3333333333333333,0.0,2017-11-08
1,0.08333333333333333,0.25,0.3333333333333333,0.0,0.3333333333333333,0.0,2017-11-09
2,0.23809523809523808,0.09523809523809523,0.23809523809523808,0.09523809523809523,0.3333333333333333,0.0,2017-11-10
3,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0,2017-11-11
4,0.2857142857142857,0.07142857142857142,0.2857142857142857,0.07142857142857142,0.2857142857142857,0.0,2017-11-12
5,0.23809523809523808,0.09523809523809523,0.2857142857142857,0.047619047619047616,0.3333333333333333,0.0,2017-11-13
6,0.3333333333333333,0.0,0.26666666666666666,0.06666666666666667,0.3333333333333333,0.0,2017-11-14
7,0.21428571428571427,0.14285714285714285,0.2857142857142857,0.07142857142857142,0.2857142857142857,0.0,2017-11-15
8,0.26666666666666666,0.06666666666666667,0.26666666666666666,0.06666666666666667,0.3333333333333333,0.0,2017-11-16
9,0.2777777777777778,0.05555555555555555,0.3333333333333333,0.0,0.3333333333333333,0.0,2017-11-17
10,0.35714285714285715,0.0,0.2857142857142857,0.07142857142857142,0.2857142857142857,0.0,2017-11-18
11,0.2,0.13333333333333333,0.2,0.13333333333333333,0.3333333333333333,0.0,2017-11-19
12,0.2,0.14285714285714285,0.3142857142857143,0.02857142857142857,0.3142857142857143,0.0,2017-11-20
13,0.25925925925925924,0.07407407407407407,0.2222222222222222,0.1111111111111111,0.3333333333333333,0.0,2017-11-21
14,0.23809523809523808,0.09523809523809523,0.3333333333333333,0.0,0.3333333333333333,0.0,2017-11-22
15,0.26666666666666666,0.06666666666666667,0.26666666666666666,0.06666666666666667,0.3333333333333333,0.0,2017-11-23
16,0.2222222222222222,0.1111111111111111,0.2777777777777778,0.05555555555555555,0.3333333333333333,0.0,2017-11-24
17,0.2222222222222222,0.1111111111111111,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.0,2017-11-25
18,0.3333333333333333,0.0,0.25,0.08333333333333333,0.3333333333333333,0.0,2017-11-26
19,0.25,0.08333333333333333,0.25,0.08333333333333333,0.3333333333333333,0.0,2017-11-27
20,0.2777777777777778,0.05555555555555555,0.2777777777777778,0.05555555555555555,0.3333333333333333,0.0,2017-11-28
21,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.0,0.3333333333333333,0.0,2017-11-29
22,0.2727272727272727,0.09090909090909091,0.36363636363636365,0.0,0.2727272727272727,0.0,2017-11-30
23,0.2777777777777778,0.05555555555555555,0.3333333333333333,0.0,0.2777777777777778,0.05555555555555555,2017-12-01
24,0.2777777777777778,0.05555555555555555,0.3333333333333333,0.0,0.3333333333333333,0.0,2017-12-02
25,0.21428571428571427,0.14285714285714285,0.35714285714285715,0.0,0.2857142857142857,0.0,2017-12-03
26,0.16666666666666666,0.16666666666666666,0.2777777777777778,0.05555555555555555,0.3333333333333333,0.0,2017-12-04
27,0.3076923076923077,0.038461538461538464,0.3076923076923077,0.038461538461538464,0.2692307692307692,0.038461538461538464,2017-12-05
28,0.3333333333333333,0.0,0.2222222222222222,0.1111111111111111,0.3333333333333333,0.0,2017-12-06
29,0.25,0.1,0.25,0.1,0.3,0.0,2017-12-07
30,0.21875,0.125,0.28125,0.0625,0.3125,0.0,2017-12-08
31,0.25,0.1,0.35,0.0,0.3,0.0,2017-12-09
32,0.3333333333333333,0.0,0.2777777777777778,0.05555555555555555,0.3333333333333333,0.0,2017-12-10
33,0.2692307692307692,0.07692307692307693,0.23076923076923078,0.11538461538461539,0.3076923076923077,0.0,2017-12-11
34,0.16666666666666666,0.16666666666666666,0.25,0.08333333333333333,0.3333333333333333,0.0,2017-12-12
35,0.25925925925925924,0.07407407407407407,0.2962962962962963,0.037037037037037035,0.3333333333333333,0.0,2017-12-13
36,0.28,0.08,0.32,0.04,0.28,0.0,2017-12-14
37,0.2,0.13333333333333333,0.2,0.13333333333333333,0.3333333333333333,0.0,2017-12-15
38,0.2222222222222222,0.1111111111111111,0.2222222222222222,0.1111111111111111,0.3333333333333333,0.0,2017-12-16
39,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,2017-12-17
40,0.2857142857142857,0.07142857142857142,0.35714285714285715,0.0,0.2857142857142857,0.0,2017-12-18
41,0.2857142857142857,0.07142857142857142,0.21428571428571427,0.14285714285714285,0.2857142857142857,0.0,2017-12-19
42,0.2777777777777778,0.05555555555555555,0.3333333333333333,0.0,0.3333333333333333,0.0,2017-12-20
43,0.2222222222222222,0.1111111111111111,0.2777777777777778,0.05555555555555555,0.3333333333333333,0.0,2017-12-21
44,0.14285714285714285,0.21428571428571427,0.35714285714285715,0.0,0.2857142857142857,0.0,2017-12-22
45,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,2017-12-23
46,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.0,0.3333333333333333,0.0,2017-12-24
47,0.08333333333333333,0.25,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.0,2017-12-25
48,0.23809523809523808,0.09523809523809523,0.2857142857142857,0.047619047619047616,0.3333333333333333,0.0,2017-12-26
49,0.3333333333333333,0.0,0.2777777777777778,0.05555555555555555,0.3333333333333333,0.0,2017-12-27
50,0.2692307692307692,0.07692307692307693,0.3076923076923077,0.038461538461538464,0.3076923076923077,0.0,2017-12-28
51,0.2777777777777778,0.05555555555555555,0.2777777777777778,0.05555555555555555,0.3333333333333333,0.0,2017-12-29
