,date,title_pos,title_neg,desc_pos,desc_neg,content_pos,content_neg
131,2017-11-30,0,1,1,0,1,0
132,2017-11-30,1,0,1,0,0,0
133,2017-11-30,1,0,1,0,1,0
134,2017-11-30,1,0,1,0,0,0
135,2017-11-30,1,0,1,0,1,0
136,2017-11-30,1,0,1,0,1,0
137,2017-12-01,1,0,1,0,0,1
138,2017-12-01,0,1,1,0,1,0
139,2017-12-01,1,0,1,0,1,0
140,2017-12-01,1,0,1,0,1,0
141,2017-12-01,1,0,1,0,1,0
142,2017-12-01,1,0,1,0,1,0
143,2017-12-02,0,1,1,0,1,0
144,2017-12-02,1,0,1,0,1,0
145,2017-12-02,1,0,1,0,1,0
146,2017-12-02,1,0,1,0,1,0
147,2017-12-02,1,0,1,0,1,0
148,2017-12-02,1,0,1,0,1,0
149,2017-12-03,0,1,1,0,0,0
150,2017-12-03,1,0,1,0,1,0
151,2017-12-03,1,0,1,0,1,0
152,2017-12-03,1,0,1,0,1,0
153,2017-12-03,0,1,1,0,1,0
154,2017-12-04,0,1,1,0,1,0
155,2017-12-04,1,0,1,0,1,0
156,2017-12-04,0,1,0,1,1,0
157,2017-12-04,1,0,1,0,1,0
158,2017-12-04,0,1,1,0,1,0
159,2017-12-04,1,0,1,0,1,0
160,2017-12-05,1,0,1,0,1,0
161,2017-12-05,1,0,1,0,1,0
162,2017-12-05,1,0,1,0,1,0
163,2017-12-05,0,1,1,0,0,1
164,2017-12-05,1,0,1,0,1,0
165,2017-12-05,1,0,1,0,1,0
166,2017-12-05,1,0,1,0,1,0
167,2017-12-05,1,0,1,0,1,0
168,2017-12-05,1,0,0,1,0,0
169,2017-12-06,1,0,1,0,1,0
170,2017-12-06,1,0,1,0,1,0
171,2017-12-06,1,0,0,1,1,0
172,2017-12-06,1,0,0,1,1,0
173,2017-12-06,1,0,1,0,1,0
174,2017-12-06,1,0,1,0,1,0
175,2017-12-07,1,0,0,1,1,0
176,2017-12-07,1,0,0,1,1,0
177,2017-12-07,0,1,1,0,1,0
178,2017-12-07,1,0,1,0,1,0
179,2017-12-07,0,1,1,0,0,0
180,2017-12-07,1,0,1,0,1,0
181,2017-12-07,1,0,1,0,1,0
182,2017-12-08,1,0,1,0,1,0
183,2017-12-08,0,1,1,0,1,0
184,2017-12-08,1,0,1,0,1,0
185,2017-12-08,1,0,1,0,1,0
186,2017-12-08,1,0,1,0,1,0
187,2017-12-08,1,0,1,0,1,0
188,2017-12-08,1,0,1,0,1,0
189,2017-12-08,0,1,0,1,1,0
190,2017-12-08,0,1,1,0,1,0
191,2017-12-08,1,0,1,0,0,0
192,2017-12-08,0,1,0,1,1,0
193,2017-12-09,1,0,1,0,1,0
194,2017-12-09,1,0,1,0,1,0
195,2017-12-09,0,1,1,0,1,0
